Born to Run,Christopher McDougall,n,n,n
Racing Weight,Matt Fitzgerald,n,n,n
A Short History of Nearly Everything,Bill Bryson,N,N,N
A Supposedly Fun Thing I’ll Never Do Again: Essays and Arguments,David Foster Wallace,N,N,N
A Vindication of the Rights of Woman,Mary Wollstonecraft,Y,N,N
Applied Minds: How Engineers Think ,Guruprasad Madhavan,N,Y,N
Bacchae,Euripides,N,N,N
bird by bird: some instructions on writing and life,anne lamott,Y,N,N
"Blood, Bones & Butter (great chef memoir)",Gabrielle Hamilton,y,N,N
"Bold: How to Go Big, Create Wealth and Impact the World",Peter H. Diamandis &Steven Kotler,N,N,N
Breakout Nations: In Pursuit of the Next Economic Miracles,Ruchir Sharma,N,Y,N
Capital,Karl Marx,N,N,N
City of God,Augustine,N,N,N
Civilization and Its Discontent,Sigmund Freud,N,N,N
Confessions,Augustine,N,N,N
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull &Amy Wallace,Y,N,N
dark night of the soul,john of the cross,N,N,N
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Amy Webb,Y,N,N
Dead Ringers: How Outsourcing is Changing How Indians Understand Themselves,Shehzad Nadeem,N,Y,N
Dead Wake: The Last Crossing of the Lusitania,Erik Larson,N,N,N
Delancey,Molly Wizenberg,Y,N,N
Democracy in America,Alexis de Tocqueville,N,N,N
Devil in a White City,Erik Larson,N,N,N
Diary of Anais Nin (Vol. I-V),Anais Nin,Y,N,N
Dietland,Sarai Walker,F,N,N
Discourse on INequality and Social Contract,Jean-Jacques Rousseau,N,N,N
Discourse on Method and Meditations on First Philosophy,Rene Descartes,N,N,N
Edge of Desire: Recent Art in India ,Chaitanya Sambrani,Y,Y,N
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,Y,N,N
Essays,Michel de Montaigne,N,N,N
"Filters Against Folly: How To Survive Despite Economists, Ecologists, and the Merely Eloquent ",Garrett Hardin,n,n,N
Games of Strategy (Fourth Edition) ,"Avinash Dixit, Susan Skeath & David H. Reiley, Jr.",Y,Y,N
gender trouble,judith butler,Y,n,N
"Godel, Escher, Bach",Douglas Hofstadter,N,N,N
Groundwork for the Metaphysics of Morals,Immanuel Kant,N,N,N
Heroides,Ovid,N,N,N
"House of Debt: How They (and You) Caused the Great Recession, and How We Can Prevent It from Happening Again",Atif Mian & Amir Sufi,N,Y,N
How to Get Lucky: 13 Techniques for Discovering and Taking Advantage of Life’s Good Breaks,Max Gunther,N,N,N
"If Not, Winter, Fragments of Sappho",Sappho,Y,N,N
Inside the machine : an illustrated introduction to microprocessors and computer architecture,Jon Stokes,N,N,N
Into Thin Air,John Krakauer,N,N,N
Introduction to the Philosophy of History,Georg Hegel,n,n,N
Leviathan,Hobbes,N,N,N
Meditations in an Emergency,Frank O’Hara,N,N,N
Metamorphoses,Ovid,N,N,N
Missoula,Jon Krakauer,N,N,N
Nicomachean Ethics,Aristotle,N,N,N
No Ordinary Disruption: The Four Global Forces Breaking All Trends,"Richard Dobbs, James Manyika, &Jonathan Woetzel",N,N,N
Obvious Adams: The Story of a Successful Businessman,Robert Rawls Updegraff,N,N,N
odd girl out,rachel simmons,Y,Y,N
Of Grammatology,Jacques Derrida,N,N,N
